,category,headline,authors,link,short_description,date
1899,POLITICS,Harry Reid Blasts FBI Director James Comey Over Handling Of Clinton Email Probe,Ryan J. Reilly,https://www.huffingtonpost.com/entry/harry-reid-james-comey-clinton_us_58166a08e4b0990edc31d618,🔥🔥🔥,2016-10-30
1900,POLITICS,Baltimore Prosecutor Vows To Fight On After Freddie Gray Case Defeat,"Scott Malone and Ian Simpson, Reuters",https://www.huffingtonpost.com/entry/baltimore-prosecutor-freddie-gray-fight-on_us_57992959e4b02d5d5ed4305f,"Prosecutor Marilyn Mosby's quick action has earned her significant support in the majority black city of 620,000 people, legal experts and civil-rights activists said.",2016-07-27
1901,POLITICS,"Donald Trump Supporter Tells Protesters To 'Go To Auschwitz,' Appears To Make Nazi Salute",Ed Mazza,https://www.huffingtonpost.com/entry/donald-trump-supporter-auschwitz_us_56e62023e4b065e2e3d656fc,Incident comes after another supporter was caught on camera making the Nazi salute.,2016-03-14
1902,CRIME,'Dog Whisperer' Cesar Millan Defends Methods Amid Animal Abuse Investigation,,https://www.huffingtonpost.com/entry/cesar-millan-animal-abuse-allegations_us_56e42152e4b0860f99d93525,A petition is calling for the dog trainer to cancel his show.,2016-03-12
1903,CRIME,Demographics Of Murder Suspect's Police Department Tell Familiar Story,Simon McCormack,https://www.huffingtonpost.com/entry/north-charleston-police-demographics_n_7025196.html,,2015-04-08
1904,CRIME,Photos From The Scene Of The Deadly Truck Attack In New York City,Chris McGonigal,https://www.huffingtonpost.com/entry/photos-new-york-city-truck-attack_us_59f8e5a5e4b0d1cf6e9131e0,Multiple people were killed.,2017-10-31
1905,POLITICS,12 Of John Conyers' Female Former Staffers Come To His Defense,Hayley Miller,https://www.huffingtonpost.com/entry/john-conyers-female-defend_us_5a1ae7bbe4b0d4906caf72d8,"""Mr. Conyers was a gentleman and never behaved in a sexually inappropriate manner in our presence,"" the women wrote in a statement Sunday.",2017-11-26
1906,POLITICS,Dispensaries In California City Offer Free Marijuana For Those Who Vote,Igor Bobic,https://www.huffingtonpost.com/entry/free-marijuana-pot_n_5423854.html,,2014-05-31
1907,POLITICS,South Carolina Republicans Want Lindsey Graham To Drop Out Of The Presidential Race,Janie Velencia,https://www.huffingtonpost.com/entry/south-carolina-republicans-lindsey-graham_us_55f06d69e4b093be51bd19bd,Nearly 8 in 10 of the state's GOP voters say he should hang it up.,2015-09-09
1908,POLITICS,Legal Marijuana In Colorado Has Already Generated More Than $15 Million For Schools,Matt Ferner,https://www.huffingtonpost.com/entry/colorado-marijuana-schools_n_6888444.html,,2015-03-17
1909,POLITICS,Why Bernie Sanders Is Best on Women's Issues,"Heather Gautney, ContributorSenior Researcher, 2016 Bernie Sanders Presidential Campaign, ...",https://www.huffingtonpost.com/entry/bernie-sanders-womens-issues_b_8049572.html,Many people believe that electing a woman president will help. I'm not so sure. Does breaking glass ceilings constitute a real political strategy -- that's capable of improving women's lives? And does voting one's gender really translate to voting one's interest?,2015-08-29
1910,CRIME,Human Rights Watch Chastises Louisiana For Endangering HIV-Positive Inmates,David Lohr,https://www.huffingtonpost.com/entry/louisiana-hiv-inmates_us_56fec7a8e4b0daf53aefabe5,The group denounces the lack of HIV testing and treatment inside parish jails.,2016-04-01
1911,POLITICS,The Story of Lil' Bernie Is Everything Sanders Stands For,"Amanda Oliver, ContributorSassy, outspoken, & passionate about equal rights. Blogger at ...",https://www.huffingtonpost.com/entry/the-story-of-lil-bernie-is-everything-sanders-stands-for_b_8874804.html,"Meet Emily Engel, an entrepreneur who was already working hard at her business called BX Custom Sewn. She created custom projects for people through her website and Etsy page. Then she came up with the idea of the Lil' Bernie doll.",2015-12-25
1912,POLITICS,"Trump Reaffirms His Intention To Order War Crimes, Then Backs Down [UPDATE]",Michael McAuliff,https://www.huffingtonpost.com/entry/trump-reaffirmed-his-intention-to-order-war-crimes_us_56d98bc7e4b0000de404296c,The GOP front-runner said Friday that he'd stick to legal means of fighting terrorism.,2016-03-04
1913,POLITICS,Donald Trump Sides With Democrats Over NRA In Gun Ban Debate,Paige Lavender,https://www.huffingtonpost.com/entry/donald-trump-nra-meeting_us_576160aae4b09c926cfda93d,The Orlando shooting sparked a new conversation.,2016-06-15
1914,POLITICS,The America Donald Trump Would Make (Again),"Jeff Bleich, ContributorFmr. United States Ambassador, Special Counsel to the Presiden...",https://www.huffingtonpost.com/entry/the-america-donald-trump-_b_10307514.html,Trump hasn't been running against the establishment.  He's not even running against Hillary Clinton.  He's running against the Constitution.  And that means one thing.  He's running against the one thing that has always made America great.,2016-06-05
1915,POLITICS,Unaoil Chiefs Questioned By Police After Fairfax Revelations,,https://www.huffingtonpost.comhttp://www.theage.com.au/business/energy/unaoil-chiefs-questioned-by-police-after-fairfax-revelations-20160401-gnvw9u,The headquarters of the Monaco-based oil company Unaoil and the homes of its executives have been raided by police in the,2016-04-01
1916,CRIME,Synthetic Pot Use Poses A Big Problem For Bureau Of Prisons,"Christopher Zoukis, ContributorAuthor and Prisoners' Rights Advocate",https://www.huffingtonpost.com/entry/synthetic-pot-use-poses-big-problem-for-bureau-of-prisons_us_590a3063e4b084f59b49ff2c,Federal prisons are not the only penal institutions fighting synthetic marijuana.,2017-05-03
1917,POLITICS,I'm Endorsing and Volunteering for Bernie!,"Larry Cohen, ContributorLarry Cohen chairs the boards of Our Revolution, the successor...",https://www.huffingtonpost.com/entry/im-endorsing-and-voluntee_b_7701948.html,"Bernie has been there with us every time, fighting for fairness, for environmental justice, for voting rights and getting big money out of politics. Bernie is there for criminal justice reform and a path to citizenship for 20 million immigrants. Bernie realizes that workers' rights in the U.S. remain under attack and near the bottom of the world's democracies.",2015-07-01
1918,CRIME,Don't Turn Your Back on Disorder,"Dr. Michael J. Jenkins, ContributorAssistant Professor, University of Scranton",https://www.huffingtonpost.com/entry/dont-turn-your-back-on-di_b_6226454.html,"As the police profession and our greater society deal with ways to rebuild (and in many cases build) relationships between the police and its citizenry, I fear that if outsider reformers call for police to ignore disorderly offenses the chasm between the police and the community will only widen.",2014-12-01
1919,POLITICS,Rand Paul Reveals When He'll Decide On A 2016 Run,Amber Ferguson,https://www.huffingtonpost.com/entry/rand-paul-president-2016_n_6262040.html,,2014-12-03
1920,POLITICS,The 2016 Election Cycle Bids A Fond Farewell To April's Shiny Nonsense!,Jason Linkins,https://www.huffingtonpost.com/entry/goodbye-april-campaign-2016_n_7191850.html,,2015-05-02
1921,POLITICS,House Speaker Paul Ryan Faces Primary Test After Belated Trump Endorsement,"Brendan O'Brien, Reuters",https://www.huffingtonpost.com/entry/paul-ryan-primary_us_57a9e680e4b0b770b1a44d3e,Ryan has been critical of the GOP presidential candidate.,2016-08-09
1922,POLITICS,Obama Administration Signals Defeat In Big Immigration Case Over Deportation Relief,Cristian Farias,https://www.huffingtonpost.com/entry/obama-immigration-deportation-relief_us_582f4526e4b030997bbf2a36,"Sen. Jeff Sessions, Donald Trump's pick for attorney general, has said the president's immigration plan is ""lawless.""",2016-11-18
1923,POLITICS,Donald Trump Responds To Alicia Machado By Bragging He Saved Her Job,Marina Fang,https://www.huffingtonpost.com/entry/donald-trump-alicia-machado-miss-universe_us_57ec5f9ae4b024a52d2cd2af,He also claimed he barely knew the former Miss Universe.,2016-09-29
1924,POLITICS,Tuesday's Morning Email: Zika Locally Transmitted In Texas For First Time,Lauren Weber,https://www.huffingtonpost.com/entry/tuesdays-morning-email-zika-locally-transmitted-in-texas-for-first-time_us_583d7eafe4b06539a78a49f9,TOP STORIES LOCAL ZIKA VIRUS TRANSMISSION FOUND IN TEXAS The first locally transmitted case in the state was found in Cameron,2016-11-29
1925,POLITICS,Ex-Interior Chief Sally Jewell: I Didn't Even Know I Had A Special Flag,Chris D'Angelo,https://www.huffingtonpost.com/entry/sally-jewell-interior-flag-ryan-zinke_us_5a8ade82e4b00bc49f46c17d,Her successor Ryan Zinke wasted little time reviving an arcane military flag-flying tradition.,2018-02-19
1926,CRIME,Life Sentence For Dad Who Threw Daughter From Cliff,Michael McLaughlin,https://www.huffingtonpost.com/entry/life-sentence-for-dad-who-threw-daughter-from-cliff_us_55fc9cb4e4b0fde8b0ce74a7,Prosecutors said he didn't want to pay child support; he said she died in an accident.,2015-09-19
1927,POLITICS,GOP Senator Concedes Democrats Had A Better Process When Passing Health Care Law,Marina Fang,https://www.huffingtonpost.com/entry/gop-obamacare-repeal-process_us_58d7d656e4b03692bea6c87f,Sen. Tom Cotton said the GOP needed more than 18 days to come up with a plan. But they actually had seven years.,2017-03-26
1928,CRIME,Grandma Stabbed Her 7-Year-Old Grandson To Death: Cops,Simon McCormack,https://www.huffingtonpost.com/entry/grandma-stabs-grandson-to-death_n_5652952.html,,2014-08-06
1929,POLITICS,Pantsuit Nation—Meet Addie and Adrian,"Thought Matters, ContributorRead Our Minds… Macmillan Publishing’s authors share their per...",https://www.huffingtonpost.com/entry/pantsuit-nationmeet-addie-and-adrian_us_592849cfe4b08861ed0cc8c8,"Every Memorial Day, we honor those who sacrificed their lives in while serving in the United States’ armed forces. Those",2017-05-29
1930,POLITICS,Why Donald Trump?,"Terry Heaton, ContributorRetired television executive; Author, 'The Gospel of Self: How...",https://www.huffingtonpost.com/entry/why-donald-trump_us_5970e157e4b0d72667b05ee9,“Let’s frame an argument beginning with an agreement that God put Donald Trump in the White House. Why would He do that?” The,2017-07-30
1931,POLITICS,"Deadly Blizzard Buries East Coast In Snow, Flood Waters","Barbara Goldberg and Idrees Ali, Reuters",https://www.huffingtonpost.com/entry/winter-storm-jonas_us_56a387d0e4b0d8cc109a42f1,"More than 85 million people in at least 20 states were affected by a winter weather warning, watch or advisory.",2016-01-23
1932,POLITICS,Thinking Clearly About Sexual Harassment,"Peter H. Schuck, ContributorProfessor Emeritus, Yale Law School; Author, 'One Nation Undec...",https://www.huffingtonpost.com/entry/thinking-clearly-about-sexual-harassment_us_5a4a9e12e4b06d1621ba2f62,A torrent of sexual harassment revelations has launched a long-overdue discussion of a perennial social plague afflicting,2018-01-02
1933,POLITICS,Jerry Brown Vetoes Bill Banning Drones From Flying Over Private Property,Mollie Reilly,https://www.huffingtonpost.com/entry/california-drone-bill-veto_us_55f1abe1e4b03784e2783d7b,"Brown said the bill would expose drone users to ""burdensome litigation.""",2015-09-10
1934,CRIME,Animal Lovers Unhappy With Proposal To Kill Outdoor Cats In Nation's Capital,Arin Greenwood,https://www.huffingtonpost.com/entry/animal-lovers-protest-as-dc-government-proposes-killing-thousands-of-cats_us_55e89825e4b0b7a9633c4ebb,"""This policy will do nothing but kill healthy animals for no reason.""",2015-09-04
1935,POLITICS,There’s A High Chance Of A Contested Republican Convention,Natalie Jackson,https://www.huffingtonpost.com/entry/contested-republican-convention-chances_us_56fc1da4e4b0daf53aee6d08,"Political betting markets, which tend to be pretty accurate, put the probability at 61 percent.",2016-03-30
1936,POLITICS,Activists Are Rallying To Stop Betsy DeVos From Running The Country's Public Schools,Rebecca Klein,https://www.huffingtonpost.com/entry/protests-betsy-devos_us_588a1a4fe4b0024605fe2379,Protesters say they want to protect public education.,2017-01-28
1937,POLITICS,Eric Garner and the Value of Black Obese Bodies,"Rebecca Kukla, ContributorRebecca Kukla is Professor of Philosophy at Georgetown Univers...",https://www.huffingtonpost.com/entry/eric-garner-and-the-value-of-black-obese-bodies_b_6324568.html,"The imagery of the giant, brutish, King-Kong-like black man threatening our cities is far from new. Currently it seems to be intersecting dangerously with another popular rhetorical image: the obese person who is responsible for his own frail, unworthy body. This intersection was especially on display in Eric Garner's case.",2014-12-17
1938,POLITICS,The Enemy of My Enemy: Islamic State and the Internationalization of the Syrian and Iraqi Civil Wars,"Joseph V. Micallef, ContributorBest Selling Military History and World Affairs Author and Key...",https://www.huffingtonpost.com/entry/the-enemy-of-my-enemy-isl_b_6541952.html,"Iranian military deployment increased further during the summer of 2014, despite continued Iranian denials that there were any Iranian troops stationed in Iraq. On August 21, Iran's 81st Armored Division took part in a joint Iranian-Kurdish attack to liberate Jalawla from IS militants.",2015-01-25
1939,POLITICS,End Gun Violence by Repealing Not Enacting Legislation,"Judge H. Lee Sarokin, ContributorRetired federal judge",https://www.huffingtonpost.com/entry/end-gun-violence-by-repealing-legislation_b_8051286.html,"I have no doubt that some additional legislation, such as background checks, will help stem the tide of this endless gun violence. But the real answer is in repealing existing legislation -- the Protection of Lawful Commerce in Arms Act.",2015-08-29
1940,POLITICS,The First 100 Gays,Jennifer Bendery,https://www.huffingtonpost.com/entry/first-100-gays_us_59039dcce4b05c39767f71ae,Do you really want to read another think piece about Donald Trump's first 100 days? This is better.,2017-04-29
1941,POLITICS,Donald Trump Breaks Silence On Roy Moore Allegations,Marina Fang,https://www.huffingtonpost.com/entry/donald-trump-roy-moore_us_5a148af4e4b03dec8248bf02,"“We don’t need a liberal person in there,” the president said, referring to Moore’s Democratic challenger Doug Jones.",2017-11-21
1942,POLITICS,"News Roundup for June 23, 2017","Outspeak, ContributorOutspeak™ is the opinion outlet for digital storytellers every...",https://www.huffingtonpost.com/entry/news-roundup-for-june-23-2017_us_594d4094e4b0c85b96c658cd,"Well, at least it’s the weekend tomorrow. 1. Four senators say they cannot vote for Trumpcare as it is currently written",2017-06-23
1943,POLITICS,3 Republicans Defect To Reject Bill To Repeal Obama-Era Greenhouse Gas Rule,Alexander C. Kaufman,https://www.huffingtonpost.com/entry/methane-cra-vote_us_5913289ae4b050bdca615e5d,But the Interior Department says it will scrap the regulation anyway.,2017-05-10
1944,POLITICS,U.S. Military Probing More Possible Civilian Deaths In Yemen Raid,"Ayesha Rascoe, Reuters",https://www.huffingtonpost.com/entry/us-military-probing-more-possible-civilian-deaths-in-yemen-raid_us_5892bf5de4b0af07cb6b8930,"Trump approved his first covert counterterrorism operation without sufficient intelligence, ground support or adequate backup preparations, officials said.",2017-02-02
1945,POLITICS,Internet Pioneers Call For Congress To Stop FCC Vote And Keep Net Neutrality Alive,Jenna Amatulli,https://www.huffingtonpost.com/entry/internet-pioneers-call-for-ajit-pai-to-cancel-vote-and-keep-net-neutrality-alive_us_5a2eec8ee4b078950282ce0f,"""It should be stopped.""",2017-12-11
1946,CRIME,Drug Abuse Counselor Sentenced For Driving Drunk With Victim On Her Windshield,Carla Herreria,https://www.huffingtonpost.com/entry/sunstance-abuse-counselor-dui-torrance_us_58b0d6b7e4b060480e082c7b,The woman drove 2 miles with a dying man on her car in 2012.,2017-02-26
1947,POLITICS,The Threat Of A Right-Wing Supreme Court: Analyzing Trump's Prospective Justices,"Marjorie Cohn, ContributorProfessor Emerita at Thomas Jefferson School of Law",https://www.huffingtonpost.com/entry/the-threat-of-a-right-wing-supreme-court-analyzing_us_580b7932e4b0f8715789fb3a,"As the media focuses on Donald Trump’s sexually predatory behavior and Hillary Clinton’s Wall Street speeches, the future",2016-10-22
1948,POLITICS,The Two Non-Interventionists,"Nathan Thomas, ContributorPolitical Independent; Philosophical Libertarian, Classical Li...",https://www.huffingtonpost.com/entry/the-two-non-interventionists_us_594f1cdde4b0326c0a8d0918,Senator Rand Paul and Representative Tulsi Gabbard are currently the two leading cheerleaders of their parties.,2017-06-29
1949,CRIME,"Zakieya Latrice Avery, Mother, Stabbed 2 Kids To Death During Exorcism Attempt: Police","The Baltimore Sun, The Baltimore Sun",https://www.huffingtonpost.com/entry/-zakieya-latrice-avery-exorcism_us_5ba2c2bfe4b0c2784da5d621,Two women have been charged in the recent stabbing deaths of two young children at a Germantown townhouse -- in what Montgomery,2014-01-19
1950,POLITICS,Former North Carolina Gov. Says It’s Tough Finding A Job Because People Think He’s A Bigot,Julia Craven,https://www.huffingtonpost.com/entry/pat-mccrory-bigot_us_58c7ff26e4b0428c7f13352a,Pat McCrory signed a law that discriminates against transgender people.,2017-03-14
1951,CRIME,Missing Louisiana Teen's Sister: 'She Is Our Heart And We Want Her Home',David Lohr,https://www.huffingtonpost.com/entry/shes-our-heart-and-we-want-her-home-missing-louisiana-teens-sister_us_592d8663e4b0df57cbfd79a7,"Jacquelyn ""Daisy Lynn"" Landry vanished after leaving home to walk to a friend's house last week.",2017-05-30
1952,POLITICS,"As Shutdown Looms, Push To Link Planned Parenthood With Spending Fight Gains Steam In House",Laura Barrón-López,https://www.huffingtonpost.com/entry/government-shutdown-planned-parenthood_us_55f223f2e4b093be51be6a40,The movement may make it harder for House Speaker John Boehner to pass a continuing resolution to fund the government.,2015-09-11
1953,POLITICS,3 New York City Jewish Organizations Received Threats This Week,Andy Campbell,https://www.huffingtonpost.com/entry/new-york-jewish-organizations-receive-third-threat-this-week_us_58c2bc14e4b054a0ea6a20ca,"A center for the aging, a children's museum and an advocacy group were targeted within the span of days.",2017-03-10
1954,POLITICS,GOP Love Of 'Small Business' Set To Pay Off Big For Our Small Businessman-In-Chief,S.V. Date,https://www.huffingtonpost.com/entry/trump-tax-break-real-estate-business_us_5a3834dfe4b0c65287aba2d9,A last-minute change in the tax bill gives President Trump a deduction worth millions.,2017-12-19
1955,POLITICS,Bill O'Reilly Blames 'Reverse McCarthyism' For Celebs Shunning Donald Trump's Inauguration,Ron Dicker,https://www.huffingtonpost.com/entry/bill-oreilly-reverse-mccarthyism_us_586ccc87e4b0eb58648b3802,Huh?,2017-01-04
1956,POLITICS,Federal Immigration Agents Will Be Allowed Back Into Los Angeles County Jails,Matt Ferner and Roque Planas,https://www.huffingtonpost.com/entry/federal-immigration-los-angeles-county-jails_us_560453bbe4b08820d91c2b5f,"""The LA County jail system has been a disgrace to working families of Los Angeles for many, many years.""",2015-09-25
1957,CRIME,"Christopher Kloman, Ex-Teacher, Sentenced To 43 Years In Prison For Sexual Abuse Of Students",Andres Jauregui,https://www.huffingtonpost.com/entry/christopher-kloman-teacher-sex_us_5ba2c6cee4b0c2784da625c9,"“It wasn’t my intention to be hurtful. I violated their trust,"" Kloman said Friday, according to WJLA. I am embarrassed, horrified",2013-10-19
1958,POLITICS,Twenty-First-Century American Populism (Or Putting Your Mouth Where Your Money Isn’t),"Rajan Menon, ContributorProfessor of International Relations, City College; Senior Res...",https://www.huffingtonpost.com/entry/twenty-first-century-american-populism_us_5a1dccd7e4b056995023205b,"Trump's populist narrative is not likely to work, not for long anyway.",2017-11-28
1959,POLITICS,CNN Guest Called Out For Using Asians To Defend Trump After 'Shithole' Comments,Kimberly Yam,https://www.huffingtonpost.com/entry/asian-immigrants-trump-carrie-sheffield_us_5a58d2c6e4b0720dc4c6933c,Fellow commentator Keith Boykin fired back at Carrie Sheffield for perpetuating the model minority myth.,2018-01-12
1960,CRIME,Poodle 'In Good Health' After Found Locked Inside Discarded Suitcase,Nina Golgowski,https://www.huffingtonpost.com/entry/poodle-found-inside-suitcase_us_592dce59e4b0c0608e8c14d3,"A dog walker is credited with finding the little animal, since named Donut.",2017-05-30
1961,CRIME,Charlotte Installs Curfew And Protester Dies After Being Shot During Unrest,,https://www.huffingtonpost.com/entry/charlotte-protester-dies-shot_us_57e47803e4b0e28b2b533ed1,Video seen by officials and the victim's family has not settled the disagreement over whether Scott was armed.,2016-09-23
1962,POLITICS,"Wednesday's Morning Email: Following Houston Devastation, Harvey Makes Landfall In Louisiana",Lauren Weber,https://www.huffingtonpost.com/entry/wednesdays-morning-email-following-houston-devastation-harvey-makes-landfall-in-louisiana_us_59a69b86e4b063ae34da1e15,And a look at Trump's trip to Texas.,2017-08-30
1963,POLITICS,Obama Finally Has His Own Facebook Page,Paige Lavender,https://www.huffingtonpost.com/entry/obama-facebook-page_us_5640d6b8e4b0b24aee4b11ea,Obama used his first post to talk about climate change.,2015-11-09
1964,POLITICS,Dannel Malloy Election Results: Tom Foley Concedes Race To Incumbent Governor,Ashley Alman,https://www.huffingtonpost.com/entry/dannel-malloy-election-results_n_5838650.html,,2014-11-05
1965,POLITICS,The Wrong Way,"Debra L. Ness, ContributorPresident, National Partnership for Women & Families",https://www.huffingtonpost.com/entry/the-wrong-way_b_7654284.html,"If we want to deliver high-value, quality care to patients and families, we need to invest in better ways to deliver care -- not undermine the agencies that are making real the improvements our health care system needs.",2015-06-25
1966,CRIME,How The San Bernardino Killers Exploited A Loophole To Legally Obtain Assault-Style Rifles In California,Daniel Marans,https://www.huffingtonpost.com/entry/san-bernardino-shooters-assault-rifles-california_us_5661f892e4b079b2818ea0ac,"It's called the ""bullet button loophole.""",2015-12-04
1967,POLITICS,Resistance In A Time Of Gunfire,"Richard (RJ) Eskow, ContributorHost of 'The Zero Hour'; Writer; Senior Advisor, Social Securi...",https://www.huffingtonpost.com/entry/resistance-in-a-time-of-gunfire_us_59434f92e4b024b7e0df4ac7,The smell of gun smoke had net yet lifted from an Alexandria baseball field when the calls for unity began. “An attack on,2017-06-16
1968,POLITICS,Republicans Are Pushing A Bill That Could Make It Much Harder To Sue Volkswagen,"Tim McDonnell, Mother Jones",https://www.huffingtonpost.com/entry/republicans-volkswagen_us_568d462de4b0c8beacf52af9,"The bill would raise the bar for plaintiffs to join a class action, requiring each of them to have ""suffered the same type and scope of injury.""",2016-01-06
1969,POLITICS,Donald Trump Promised To Give Trump Vodka Proceeds To Charity -- But Never Did,Christina Wilkie,https://www.huffingtonpost.com/entry/trump-vodka-charity_us_575740f2e4b0a3d6fbd31033,"The donation, Trump said, was in ""honor of my late brother, Fred Trump.""",2016-06-07
1970,POLITICS,Everything Republicans Did Wrong During The GOP Debate They Should Have Learned In Kindergarten,Matt Fuller,https://www.huffingtonpost.com/entry/gop-debate-highlights_us_56bfff33e4b0c3c55051b642,"“Hold on, gentlemen. I’m going to turn this car around!”",2016-02-14
1971,CRIME,Text From Missing Teen's Phone: 'I've Killed Veronica',Sebastian Murdock,https://www.huffingtonpost.com/entry/text-ive-killed-veronica_n_6556764.html,,2015-01-27
1972,CRIME,Chicago Police Commander Goes To Trial For Allegedly Putting Gun In Suspect's Mouth,,https://www.huffingtonpost.com/entry/chicago-cop-faces-trial-for-gun-in-mouth_us_566710dee4b08e945ff1061a,Glenn Evans faces charges of aggravated battery and official misconduct for the 2013 incident.,2015-12-08
1973,POLITICS,The Real History Of Hanukkah Is More Complicated Than You Thought,Daniel Marans and Nick Baumann,https://www.huffingtonpost.com/entry/real-history-of-hanukkah_us_585ea38ae4b0d9a594587fd3,"What do you really know about the ""festival of lights""?",2016-12-24
1974,POLITICS,Why South Dakota's Senate Race is Not Like Kansas,"Ryan Casey, ContributorJ.D. candidate, University of Washington School of Law; Comman...",https://www.huffingtonpost.com/entry/why-south-dakotas-senate-_b_5975256.html,Dramatic developments last week in the South Dakota Senate race have left national political observers scrambling to make sense of it.,2014-10-13
1975,POLITICS,Donald Trump Victory Would Send Stocks Plummeting 10 To 15 Percent,Alexander C. Kaufman,https://www.huffingtonpost.com/entry/trump-stock-markets_us_580a6ad3e4b0cdea3d87607c,Stock markets around the world are uncharacteristically averse to the Republican nominee.,2016-10-21
1976,POLITICS,Donald Trump Has Been Self-Funding His Bigotry Parade Since At Least 1989,Andy Campbell,https://www.huffingtonpost.com/entry/donald-trump-central-park-five_us_56c78713e4b041136f16fd4e,"He spent $85,000 on fear-stoking ads against the Central Park Five: ""BRING BACK THE DEATH PENALTY. BRING BACK OUR POLICE!”",2016-02-20
1977,POLITICS,Cruz: It's Not Me Who's Holding Migrant Kids Ransom,Arthur Delaney,https://www.huffingtonpost.com/entry/ted-cruz-immigation_n_5603441.html,,2014-07-20
1978,CRIME,"Carbon Monoxide Leak At Hotel Pool Leaves 1 Teen Dead, 12 People Hospitalized",Nina Golgowski,https://www.huffingtonpost.com/entry/deadly-carbon-monoxide-pool-leak_us_58e0f4f7e4b0ba359595a67b,Hotel staff found several youths lying motionless on the pool's deck after CO levels reached 16 times the safe limit.,2017-04-02
1979,POLITICS,"In Divisive Times, Students Must Learn The Value Of Unity","Mayor Darrell Steinberg, ContributorCity of Sacramento",https://www.huffingtonpost.com/entry/in-divisive-times-students-must-learn-value-of-unity_us_59d11c05e4b0f3c468060f93,The California Unity Center is a regional response to national concerns about freedom and equality.,2017-10-01
1980,POLITICS,Racist Bullying? Religious School In Texas Argues Courts Can't Intervene.,Rebecca Klein,https://www.huffingtonpost.com/entry/texas-religious-school-racist-bullying_us_5a7391aae4b01ce33eb12c6c,A religious school is being sued after it punished alleged racist harassers with one-day suspensions.,2018-02-09
1981,CRIME,Grisly Details Emerge In Case Of Teen Accused Of Killing Parents,Andres Jauregui,https://www.huffingtonpost.com/entry/ashlee-martinson-kills-parents_n_6846820.html,,2015-03-11
1982,POLITICS,Defense Secretary Ash Carter Suspends National Guard Bonus Collections,Matt Fuller,https://www.huffingtonpost.com/entry/carter-suspend-bonus-payment-collections_us_5810bfdfe4b001e247df7e17,Some debts may be forgiven. Others won't.,2016-10-26
1983,POLITICS,"Facing Backlash, VA Reverses Cuts To Program Helping Homeless Vets: Report",Dominique Mosbergen,https://www.huffingtonpost.com/entry/veterans-affairs-homeless-vets-program_us_5a28fb8fe4b03ece03001ee9,The VA had planned to slash funding for a program that has helped thousands of veterans escape homelessness.,2017-12-07
1984,POLITICS,How Does White Supremacy Survive An Education?,"Sarah Winchester, ContributorSarah is an educator living in the South.",https://www.huffingtonpost.com/entry/how-does-white-supremacy-survive-an-education_us_59989344e4b033e0fbdec4ad,"Soon after he was identified, accused domestic terrorist James Alex Fields Jr.’s early Nazi sympathies were made public by",2017-08-19
1985,POLITICS,Naiveté Is No Excuse For Racism,"Kayla Chadwick, ContributorVideo Editor",https://www.huffingtonpost.com/entry/naivet%C3%A9-is-no-excuse_us_5994e7e4e4b00dd984e37c46,"As an adult, it is your responsibility to seek information to fill those egregious gaps in your knowledge.",2017-08-18
1986,POLITICS,6 More Landmarks That Should Have Their Indigenous Names Restored,Julian Brave NoiseCat,https://www.huffingtonpost.com/entry/landmarks-denali-indigenous-names_us_55e5f674e4b0aec9f354c572,"Admittedly, some of them might be a bit harder to pronounce than ""Denali.""",2015-09-01
1987,POLITICS,Watch Obama's Year-End Press Conference,Mollie Reilly,https://www.huffingtonpost.com/entry/obama-press-conference_us_56743db3e4b0b958f65667ba,He'll take questions at the White House before departing to Hawaii for the holidays.,2015-12-18
1988,POLITICS,Sunday Roundup,"Arianna Huffington, Contributor",https://www.huffingtonpost.com/entry/sunday-roundup_340_b_5518084.html,"This was a week that saw the return of former leaders with less than successful results. In the World Cup, Spain fell 2-0 to Chile, knocking the defending champions out even before the upcoming knockout rounds. In an even worse reappearance, former Vice President Dick Cheney appeared on Fox News to defend his assertion that President Obama has ""been so wrong about so much."" But host Megyn Kelly scored a surprise knockout herself when she said, ""History has proven that you got it wrong as well in Iraq, sir."" As they say: 'Goooooooal!' Meanwhile, on Wednesday, the Patent Office canceled several trademarks on the name ""Washington Redskins."" Though D.C.'s football team hasn't changed its mascot yet, if they do, I'm partial to renaming them the Washington Drones. Other suggestions that came my way on Twitter include the Watergators, the Lobbyists, the Super PACers, the Gerrymanders, the Filibusters and the Weasels. Tough to choose when they all seem so apt.",2014-06-22
1989,POLITICS,"Inside Trump Tower, Home To 2016's Troubling, Unprecedented Campaign",Howard Fineman,https://www.huffingtonpost.com/entry/inside-donald-trump-tower_us_571d1796e4b0d0042da9903b,A visit to Trump Tower reveals what Donald Trump and his family team are up to: turning America into a Trump brand.,2016-04-25
1990,POLITICS,HuffPost Rise: What You Need To Know On May 27,,https://www.huffingtonpost.com/entry/huffpost-rise-morning-newsbrief-may-27_us_5747eb6ce4b055bb1171cc36,"Welcome to the HuffPost Rise Morning Newsbrief, a short wrap-up of the news to help you start your day.",2016-05-27
1991,POLITICS,HUFFPOST HILL - Trump Somehow Blows Softball Interview,Eliot Nelson,https://www.huffingtonpost.com/entry/huffpost-hill-trump-somehow-blows-softball-interview_us_57d1cf1fe4b06a74c9f3c694,"Gary Johnson doesn’t know what Aleppo is, whereas Donald Trump, of course, knows Aleppo. He will be the greatest Aleppo president",2016-09-08
