S.no,category,headline,authors,link,short_description,date,text,processed_text,text_length
4911,POLITICS,"Chuck Grassley: I'm With Trump Because, Hey, Other Presidents Weren't 'Saints'",Jennifer Bendery,https://www.huffingtonpost.com/entry/chuck-grassley-donald-trump_us_57fe4cdde4b0e8c198a525ee,But did they brag about grabbing p***y?,2016-10-12,"Chuck Grassley: I'm With Trump Because, Hey, Other Presidents Weren't 'Saints' But did they brag about grabbing p***y?",chuck grassley trump hey president brag grabbing p,50
2812,POLITICS,Congress To Discuss War Stuff After Spring Break In Cabo,Arthur Delaney and Elise Foley,https://www.huffingtonpost.com/entry/trump-congress-war_us_58e7fb9ae4b058f0a02f4b88,Who needs AUMF when you've got Umph?,2017-04-07,Congress To Discuss War Stuff After Spring Break In Cabo Who needs AUMF when you've got Umph?,congress discus war stuff spring break cabo need aumf got umph,62
7433,CRIME,Grand Jury Decides Not To Indict Anyone For Sandra Bland's Jailhouse Death,,https://www.huffingtonpost.com/entry/sandra-bland-grand-jury_us_5678c1cae4b014efe0d6a1e0,The grand jury reached no decision on whether the trooper who arrested Bland should face charges.,2015-12-22,Grand Jury Decides Not To Indict Anyone For Sandra Bland's Jailhouse Death The grand jury reached no decision on whether the trooper who arrested Bland should face charges.,grand jury decides indict anyone sandra bland jailhouse death grand jury reached decision whether trooper arrested bland face charge,132
7475,POLITICS,Trump Taps CNBC Commentator To Be Top Economic Adviser: Reports,,https://www.huffingtonpost.com/entry/trump-kudlow-economic-adviser_us_5aa95643e4b0600b82ff64be,CNBC said the announcement of Trump’s decision could come as soon as Thursday.,2018-03-14,Trump Taps CNBC Commentator To Be Top Economic Adviser: Reports CNBC said the announcement of Trump’s decision could come as soon as Thursday.,trump tap cnbc commentator top economic adviser report cnbc said announcement trump decision could come soon thursday,117
3790,POLITICS,Is A Closer-Than-Expected Race In Kansas A Warning Sign For The GOP?,Ariel Edwards-Levy and Grace Sparks,https://www.huffingtonpost.com/entry/is-a-closer-than-expected-race-in-kansas-a-warning-sign-for-the-gop_us_58f0bdcee4b0b9e9848b14f0,Republicans faced a surprisingly close call on Tuesday.,2017-04-14,Is A Closer-Than-Expected Race In Kansas A Warning Sign For The GOP? Republicans faced a surprisingly close call on Tuesday.,race kansa warning sign gop republican faced surprisingly close call tuesday,76
786,POLITICS,The Chorus Of Calls For Bipartisanship Has Fallen Silent Now That Donald Trump's President,Jason Linkins,https://www.huffingtonpost.com/entry/trump-pundit-shifting-standard_us_58c81198e4b0598c6699eda9,The pundits who wouldn't stop haranguing Barack Obama to reach across the aisle seem to have lost their voices.,2017-03-14,The Chorus Of Calls For Bipartisanship Has Fallen Silent Now That Donald Trump's President The pundits who wouldn't stop haranguing Barack Obama to reach across the aisle seem to have lost their voices.,chorus call bipartisanship fallen silent donald trump president pundit would stop haranguing barack obama reach across aisle seem lost voice,140
507,POLITICS,GOP Congressman Circulates Letter Urging Rubio Or Cruz To Drop Out Of Presidential Race,Jennifer Bendery,https://www.huffingtonpost.com/entry/trent-franks-rubio-cruz-drop-out_us_56ce57cde4b0bf0dab30ce42,Rep. Trent Franks says he's trying to save his party from Donald Trump.,2016-02-25,GOP Congressman Circulates Letter Urging Rubio Or Cruz To Drop Out Of Presidential Race Rep. Trent Franks says he's trying to save his party from Donald Trump.,gop congressman circulates letter urging rubio cruz drop presidential race trent frank say trying save party donald trump,121
1400,POLITICS,Congratulations To Federal Inmate 06290-177 Jared Kushner,Eliot Nelson and Jeffrey Young,https://www.huffingtonpost.com/entry/congratulations-to-federal-inmate-06290-177-jared-kushner_us_591f6007e4b03b485cb19acb,...and Anthony Weiner's new divorce lawyer!,2017-05-19,Congratulations To Federal Inmate 06290-177 Jared Kushner ...and Anthony Weiner's new divorce lawyer!,congratulation federal inmate jared kushner anthony weiner new divorce lawyer,77
3762,POLITICS,U.S. Judge Refuses To Toss Suit Against Trump On Foreign Payments,"Andrew Chung, Reuters",https://www.huffingtonpost.com/entry/donald-trump-emoluments-lawsuit_us_5abbd965e4b04a59a313cf71,The District of Columbia and the state of Maryland filed the lawsuit last June.,2018-03-28,U.S. Judge Refuses To Toss Suit Against Trump On Foreign Payments The District of Columbia and the state of Maryland filed the lawsuit last June.,judge refuse toss suit trump foreign payment district columbia state maryland filed lawsuit last june,101
4622,POLITICS,"Graphic Video Shows Louisiana Officers Open Fire On Vehicle, Killing 6-Year-Old Boy",Nick Wing,https://www.huffingtonpost.com/entry/jeremy-mardis-shooting-video_us_57ed373ce4b024a52d2d44ce,The state police superintendent had previously called the footage “the most disturbing thing” he’d seen.,2016-09-29,"Graphic Video Shows Louisiana Officers Open Fire On Vehicle, Killing 6-Year-Old Boy The state police superintendent had previously called the footage “the most disturbing thing” he’d seen.",graphic video show louisiana officer open fire vehicle killing boy state police superintendent previously called footage disturbing thing seen,142
3415,POLITICS,"Rick Perry: Despite Indictment, 'We're Moving Right Along' On 2016 Plans",Paige Lavender,https://www.huffingtonpost.com/entry/rick-perry-indictment-2016_n_6563900.html,,2015-01-28,"Rick Perry: Despite Indictment, 'We're Moving Right Along' On 2016 Plans ",rick perry despite indictment moving right along plan,53
287,POLITICS,Sanders Says It's Clinton's Responsibility To Bring His Supporters Into The Fold,Sam Stein,https://www.huffingtonpost.com/entry/bernie-sanders-hillary-clinton-supporters_us_574ae6a3e4b03ede441510c0,"""That is the candidate's job to do.""",2016-05-29,"Sanders Says It's Clinton's Responsibility To Bring His Supporters Into The Fold ""That is the candidate's job to do.""",sander say clinton responsibility bring supporter fold candidate job,68
2006,POLITICS,HUFFPOLLSTER: Trump Supporters Say They'll Have His Back In Disagreements With Republicans,Ariel Edwards-Levy and Natalie Jackson,https://www.huffingtonpost.com/entry/huffpollster-trump-supporters-say-theyll-have-his-back-in-disagreements-with-republicans_us_587e1273e4b0d4cc08848292,House Speaker Paul Ryan gets less goodwill from the GOP base.,2017-01-17,HUFFPOLLSTER: Trump Supporters Say They'll Have His Back In Disagreements With Republicans House Speaker Paul Ryan gets less goodwill from the GOP base.,huffpollster trump supporter say back disagreement republican house speaker paul ryan get le goodwill gop base,110
5205,POLITICS,Donald Trump Adviser Says U.S. Should 'Make The Russians Feel Pain' For Meddling In Election,Hayley Miller,https://www.huffingtonpost.com/entry/trump-advisor-says-us-should-make-the-russians-feel-pain-for-meddling-with-election_us_58666495e4b0de3a08f7fb2b,"The former U.S. ambassador to the U.N. called the reported Russia hack ""an attack on our constitutional system.”",2016-12-30,"Donald Trump Adviser Says U.S. Should 'Make The Russians Feel Pain' For Meddling In Election The former U.S. ambassador to the U.N. called the reported Russia hack ""an attack on our constitutional system.”",donald trump adviser say russian feel pain meddling election former ambassador called reported russia hack attack constitutional system,135
1743,POLITICS,Can Yoga Help Treat PTSD?,"Armin Rosen, ContributorWriter",https://www.huffingtonpost.com/entry/can-yoga-help-treat-ptsd_us_596681e2e4b051f16255e589,"The U.S. military is beginning to embrace yoga as a means of treating Post-Traumatic Stress Disorder, Stephanie Lopez, a",2017-07-12,"Can Yoga Help Treat PTSD? The U.S. military is beginning to embrace yoga as a means of treating Post-Traumatic Stress Disorder, Stephanie Lopez, a",yoga help treat ptsd military beginning embrace yoga mean treating stress disorder stephanie lopez,98
2492,POLITICS,These Students Are Preparing For Climate Change To Swallow Their School,"MAREESA NICOSIA, The 74",https://www.huffingtonpost.com/entry/alaska-school-climate-change_us_57f2bfd6e4b0d0e1a9a92dc8,"Newtok, Alaska’s tiny village school could be the country’s first forced to close by climate change.",2016-10-03,"These Students Are Preparing For Climate Change To Swallow Their School Newtok, Alaska’s tiny village school could be the country’s first forced to close by climate change.",student preparing climate change swallow school newtok alaska tiny village school could country first forced close climate change,129
7101,CRIME,"Don't Rush the Marijuana Breathalyzer Into ""Zero Tolerance"" States","Adam Banner, ContributorCriminal Defense Attorney",https://www.huffingtonpost.com/entry/introducingthe-marijuana-_b_6432988.html,"As a criminal defense lawyer, I've handled a few DUI cases in my time. Still, the last thing I want is to share the road with an impaired driver. DUI defense isn't about supporting drunk or drugged driving; it's about making sure the legal system runs correctly.",2015-01-21,"Don't Rush the Marijuana Breathalyzer Into ""Zero Tolerance"" States As a criminal defense lawyer, I've handled a few DUI cases in my time. Still, the last thing I want is to share the road with an impaired driver. DUI defense isn't about supporting drunk or drugged driving; it's about making sure the legal system runs correctly.",rush marijuana breathalyzer zero tolerance state criminal defense lawyer handled duo case time still last thing want share road impaired driver duo defense supporting drunk drugged driving making sure legal system run correctly,227
2606,POLITICS,Extending The Legacy Of The Hawks Nest Disaster To Protect Our Air Today,"Luke Bassett, ContributorAssociate Director of Energy and Environment Policy, Center fo...",https://www.huffingtonpost.com/entry/extending-the-legacy-of-the-hawks-nest-disaster-to-protect-our-air-today_us_59d40c78e4b0218923e615cd,"When driving up Route 60 along the Kanawha River to our family reunions, the Hawks Nest State Park overlook offered my family",2017-10-03,"Extending The Legacy Of The Hawks Nest Disaster To Protect Our Air Today When driving up Route 60 along the Kanawha River to our family reunions, the Hawks Nest State Park overlook offered my family",extending legacy hawk nest disaster protect air today driving route along kanawha river family reunion hawk nest state park overlook offered family,147
6566,POLITICS,John Lewis Calls For Federal Observers To Be Placed At Polling Stations On Election Day,Laura Barrón-López,https://www.huffingtonpost.com/entry/john-lewis-federal-observers-elections_us_57e2b7cae4b08d73b82eda54,But a 2013 court decision restricted the Justice Department's authority to dispatch officials.,2016-09-21,John Lewis Calls For Federal Observers To Be Placed At Polling Stations On Election Day But a 2013 court decision restricted the Justice Department's authority to dispatch officials.,john lewis call federal observer placed polling station election day court decision restricted justice department authority dispatch official,141
4798,POLITICS,Company That Trump Trashed For Offshoring Jobs Is Having Workers Train Their Own Replacements,Arthur Delaney,https://www.huffingtonpost.com/entry/trump-rexnord-corporation_us_588a6707e4b0cef5cf86f62a,Rexnord Corporation apparently isn't scared of a Trump tweet.,2017-01-26,Company That Trump Trashed For Offshoring Jobs Is Having Workers Train Their Own Replacements Rexnord Corporation apparently isn't scared of a Trump tweet.,company trump trashed offshoring job worker train replacement rexnord corporation apparently scared trump tweet,111
624,POLITICS,Illinois Conservative Group Denies Sitting On People's Ballot Applications,Arthur Delaney,https://www.huffingtonpost.com/entry/illinois-ballot-applications_us_581a1a26e4b08f9841aca2d3,But state Democrats suspect a voter suppression effort.,2016-11-02,Illinois Conservative Group Denies Sitting On People's Ballot Applications But state Democrats suspect a voter suppression effort.,illinois conservative group denies sitting people ballot application state democrat suspect voter suppression effort,116
2257,CRIME,Nightmarish Video Shows Alleged Kidnap Attempt Right Under Mom’s Nose,David Moye,https://www.huffingtonpost.com/entry/attempted-kidnapping-terry-ransom_us_577d41a8e4b0a629c1ab88c4,"“She was just screaming, crying. She couldn’t believe it”",2016-07-06,"Nightmarish Video Shows Alleged Kidnap Attempt Right Under Mom’s Nose “She was just screaming, crying. She couldn’t believe it”",nightmarish video show alleged kidnap attempt right mom nose screaming cry believe,82
6127,POLITICS,Lawmakers Sue Their Colleagues For Blocking A Local Minimum Wage Hike,Dave Jamieson,https://www.huffingtonpost.com/entry/alabama-lawsuit-minimum-wage_us_57757985e4b09b4c43bf9401,African-American legislators in Alabama argue that the state violated civil rights laws when it blocked Birmingham from raising its wage floor to $10.10.,2016-06-30,Lawmakers Sue Their Colleagues For Blocking A Local Minimum Wage Hike African-American legislators in Alabama argue that the state violated civil rights laws when it blocked Birmingham from raising its wage floor to $10.10.,lawmaker sue colleague blocking local minimum wage hike legislator alabama argue state violated civil right law blocked birmingham raising wage floor,149
757,POLITICS,Senate Dems Leave No Room For Ambiguity In Denouncing Al Franken,Lydia O'Connor,https://www.huffingtonpost.com/entry/democrat-senators-al-franken-allegations_us_5a0dc761e4b0c0b2f2f89dfc,"A woman has accused the senator of groping her without consent, and his colleagues say the claims should be taken seriously.",2017-11-16,"Senate Dems Leave No Room For Ambiguity In Denouncing Al Franken A woman has accused the senator of groping her without consent, and his colleagues say the claims should be taken seriously.",senate dems leave room ambiguity denouncing al franken woman accused senator groping without consent colleague say claim taken seriously,136
2058,CRIME,Jay Connolly Allegedly Robs Woman Who Bailed Him Out Of Jail,,https://www.huffingtonpost.com/entry/jay-connolly-robs-woman-bailed-out-jail_us_5ba2a9f0e4b0c2784da3f104,Officials say it took about two hours for the woman to free herself from the laces. Police located Connolly and Dean at a,2012-10-30,Jay Connolly Allegedly Robs Woman Who Bailed Him Out Of Jail Officials say it took about two hours for the woman to free herself from the laces. Police located Connolly and Dean at a,jay connolly allegedly robs woman bailed jail official say took two hour woman free lace police located connolly dean,117
3262,POLITICS,Diesel Pollution Is Affecting Dozens of Communities. Will The EPA Act?,Robert Baldwin III,https://www.huffingtonpost.com/entry/diesel-polluiton-epa_us_570820b1e4b0885fb50d2a25,Emissions from freight facilities disproportionately affect blacks and Latinos.,2016-04-08,Diesel Pollution Is Affecting Dozens of Communities. Will The EPA Act? Emissions from freight facilities disproportionately affect blacks and Latinos.,diesel pollution affecting dozen community epa act emission freight facility disproportionately affect black latino,115
6017,POLITICS,Sen. Richard Burr: The Cloak and Dagger Senator,"William E. Jackson Jr., ContributorColumnist, foreign policy expert, former U.S. Senate staffer a...",https://www.huffingtonpost.com/entry/sen-richard-burr-the-cloak-and-dagger_b_7464344.html,Rather than exercising critical legislative oversight of the intelligence community's most controversial activities from paramilitary drone strikes to N.S.A. bulk collection of phone records -- Mr. Burr all too often is a cheerleader for whatever is going down.,2015-05-29,Sen. Richard Burr: The Cloak and Dagger Senator Rather than exercising critical legislative oversight of the intelligence community's most controversial activities from paramilitary drone strikes to N.S.A. bulk collection of phone records -- Mr. Burr all too often is a cheerleader for whatever is going down.,richard burr cloak dagger senator rather exercising critical legislative oversight intelligence community controversial activity paramilitary drone strike bulk collection phone record burr often cheerleader whatever going,221
3028,POLITICS,Donald Trump’s Plan To Fix Cities Sounds A Lot Like Hillary Clinton's And Bernie Sanders' -- Except For This One Thing,Julia Craven,https://www.huffingtonpost.com/entry/donald-trump-cities-plan_us_56f197a2e4b03a640a6bfc7c,Trump refuses to acknowledge that many of the stubborn problems plaguing cities are rooted in racism.,2016-03-23,Donald Trump’s Plan To Fix Cities Sounds A Lot Like Hillary Clinton's And Bernie Sanders' -- Except For This One Thing Trump refuses to acknowledge that many of the stubborn problems plaguing cities are rooted in racism.,donald trump plan fix city sound lot like hillary clinton bernie sander except one thing trump refuse acknowledge many stubborn problem plaguing city rooted racism,163
806,POLITICS,Twitter Trolls Donald Trump Over His Star Of David Picture Excuse,Lee Moran,https://www.huffingtonpost.com/entry/donald-trump-star-of-david-trolled_us_577b58f9e4b0a629c1aa98d7,"""Remember when Hitler made 6 million Jewish sheriffs?""",2016-07-05,"Twitter Trolls Donald Trump Over His Star Of David Picture Excuse ""Remember when Hitler made 6 million Jewish sheriffs?""",twitter troll donald trump star david picture excuse remember hitler made million jewish sheriff,96
638,POLITICS,Resistance Groups Try To Turn Their Numbers Into Fundraising Power,Amanda Terkel,https://www.huffingtonpost.com/entry/resistance-groups-money_us_59b6f0c2e4b031cc65cbeb05,A California progressive group is sending money to grassroots organizations rather than Democratic Party organs.,2017-09-14,Resistance Groups Try To Turn Their Numbers Into Fundraising Power A California progressive group is sending money to grassroots organizations rather than Democratic Party organs.,resistance group try turn number fundraising power california progressive group sending money grassroots organization rather democratic party organ,147
1885,POLITICS,Olympian Mo Farah Slams Trump's Executive Order Against Muslims,Lydia O'Connor,https://www.huffingtonpost.com/entry/mo-farah-trump-muslims_us_588e3f78e4b0b065cbbcb03c,The gold medalist is worried he won't be able to reunite with his family in Portland.,2017-01-29,Olympian Mo Farah Slams Trump's Executive Order Against Muslims The gold medalist is worried he won't be able to reunite with his family in Portland.,olympian mo farah slam trump executive order muslim gold medalist worried wo able reunite family portland,105
7524,POLITICS,‘RBG’ Doc Shows How Lasting Political Change Often Happens Behind The Scenes,Marina Fang,https://www.huffingtonpost.com/entry/rbg-documentary-ruth-bader-ginsburg_us_5aeb1bbbe4b041fd2d23ba7d,"Just like its subject, a new film on Supreme Court Justice Ruth Bader Ginsburg quietly and methodically plots the story of her career.",2018-05-04,"‘RBG’ Doc Shows How Lasting Political Change Often Happens Behind The Scenes Just like its subject, a new film on Supreme Court Justice Ruth Bader Ginsburg quietly and methodically plots the story of her career.",rbg doc show lasting political change often happens behind scene like subject new film supreme court justice ruth bader ginsburg quietly methodically plot story career,167
5255,POLITICS,Black Lives and Gun Violence,"Spencer Overton and Nina Vinik, Contributors",https://www.huffingtonpost.com/entry/black-lives-and-gun-violence_b_7629262.html,"When states fail to pass laws that effectively restrict access to illegal guns, and instead enact laws to make it easier to buy and carry guns, they fail to sufficiently value Black lives and the lives of other Americans adversely affected by gun crime and violence.",2015-06-20,"Black Lives and Gun Violence When states fail to pass laws that effectively restrict access to illegal guns, and instead enact laws to make it easier to buy and carry guns, they fail to sufficiently value Black lives and the lives of other Americans adversely affected by gun crime and violence.",black life gun violence state fail pas law effectively restrict access illegal gun instead enact law make easier buy carry gun fail sufficiently value black life life american adversely affected gun crime violence,213
5868,POLITICS,"THE WILDCATTERS: #Brexit, #Texit, and U.S. Public Opinion Toward State Secession","Kirby Goidel and Keith Gaddie, Contributors",https://www.huffingtonpost.com/entry/the-wildcatters-brexit-texit-and-us-public-opinion_us_577a6ee7e4b0ad1e7bff2af4,"When Great Britain surprisingly voted to leave the European Union, the eyes of the nation quickly turned to Texas. With its",2016-07-04,"THE WILDCATTERS: #Brexit, #Texit, and U.S. Public Opinion Toward State Secession When Great Britain surprisingly voted to leave the European Union, the eyes of the nation quickly turned to Texas. With its",wildcatter brexit texit public opinion toward state secession great britain surprisingly voted leave european union eye nation quickly turned texas,147
7326,CRIME,10 Surprising Ways to Fight Crime,"John Roman, Ph.D., Contributor
Contributor",https://www.huffingtonpost.com/entry/10-surprising-ways-to-fig_us_5ba2b457e4b0c2784da4b4f4,"Though they may run counter to conventional wisdom, these 10 research-backed policy ideas could reduce crime in the United States. Here's how -- and why.",2013-12-07,"10 Surprising Ways to Fight Crime Though they may run counter to conventional wisdom, these 10 research-backed policy ideas could reduce crime in the United States. Here's how -- and why.",surprising way fight crime though may run counter conventional wisdom policy idea could reduce crime united state,113
6992,CRIME,Alabama Wants To Execute Man Despite Questions Of Mental Competency,,https://www.huffingtonpost.com/entry/vernon-madison-execution_us_57350950e4b060aa7819e3e0,The state has asked the U.S. Supreme Court to overturn Vernon Madison's stay so it can move forward with his execution.,2016-05-13,Alabama Wants To Execute Man Despite Questions Of Mental Competency The state has asked the U.S. Supreme Court to overturn Vernon Madison's stay so it can move forward with his execution.,alabama want execute man despite question mental competency state asked supreme court overturn vernon madison stay move forward execution,137
3991,POLITICS,Senate Democrats Failed Dreamers In December. They Might Do It Again.,Elise Foley,https://www.huffingtonpost.com/entry/senate-democrats-daca-shutdown_us_5a5fc823e4b0ccf9f1213cb9,Many Democrats want protections for undocumented immigrants to be part of a must-pass government funding bill. But will enough of them hold firm?,2018-01-18,Senate Democrats Failed Dreamers In December. They Might Do It Again. Many Democrats want protections for undocumented immigrants to be part of a must-pass government funding bill. But will enough of them hold firm?,senate democrat failed dreamer december might many democrat want protection undocumented immigrant part government funding bill enough hold firm,144
1126,POLITICS,Iowa Republican Lawmaker Bolts Party Over Donald Trump,Igor Bobic,https://www.huffingtonpost.com/entry/david-johnson-iowa-trump_us_57582bcbe4b00f97fba6c412,"""I will not stand silent if the party of Lincoln and the end of slavery buckles under the racial bias of a bigot.""",2016-06-08,"Iowa Republican Lawmaker Bolts Party Over Donald Trump ""I will not stand silent if the party of Lincoln and the end of slavery buckles under the racial bias of a bigot.""",iowa republican lawmaker bolt party donald trump stand silent party lincoln end slavery buckle racial bias bigot,112
6702,POLITICS,How Will President Trump Handle A Full-Scale Crisis?,"Richard North Patterson, ColumnistColumnist",https://www.huffingtonpost.com/entry/how-will-trump-handle-a-full-scale-crisis_us_59773061e4b01cf1c4bb733c,"Soon enough, President Trump will confront an economic, military, or constitutional crisis — or provoke one. Already we see",2017-07-25,"How Will President Trump Handle A Full-Scale Crisis? Soon enough, President Trump will confront an economic, military, or constitutional crisis — or provoke one. Already we see",president trump handle crisis soon enough president trump confront economic military constitutional crisis provoke one already see,130
6687,CRIME,Who Wanted This Dentist Dead?,David Lohr,https://www.huffingtonpost.com/entry/dental-assistant-arrested-in-slaying-of-beloved-childrens-dentist_us_55ef0ca3e4b093be51bc3399,"""She admitted that she conspired with an unnamed individual.""",2015-09-08,"Who Wanted This Dentist Dead? ""She admitted that she conspired with an unnamed individual.""",wanted dentist dead admitted conspired unnamed individual,57
1418,POLITICS,Tearful Airport Goodbye Leads Republican To Quit Congress,Arthur Delaney,https://www.huffingtonpost.com/entry/reid-ribble-congress_us_56b3b2c0e4b08069c7a6852e,Sometimes all it takes is a loving grandson.,2016-02-05,Tearful Airport Goodbye Leads Republican To Quit Congress Sometimes all it takes is a loving grandson.,tearful airport goodbye lead republican quit congress sometimes take loving grandson,84
98,POLITICS,Senators Ask DEA To Delay Plans To Criminalize Another Herb,Nick Wing,https://www.huffingtonpost.com/entry/senate-kratom-dea_us_57ed85fde4b0c2407cdcf0a4,Members of both chambers of Congress now want to take a closer look at the DEA's plans to wage war on kratom.,2016-09-30,Senators Ask DEA To Delay Plans To Criminalize Another Herb Members of both chambers of Congress now want to take a closer look at the DEA's plans to wage war on kratom.,senator ask dea delay plan criminalize another herb member chamber congress want take closer look dea plan wage war kratom,122
5797,POLITICS,Ruling Against Health Reform Subsidies Would Be Wrong -- and Harmful,"Judith Solomon, ContributorVice President for Health Policy, Center on Budget and Policy ...",https://www.huffingtonpost.com/entry/ruling-against-health-ref_b_6803188.html,"If the Supreme Court invalidates premium credits in the federal exchange, the number of uninsured Americans would jump by roughly 8 million. Millions more would face dramatic premium increases; RAND estimates that premiums would jump by 47 percent.",2015-03-04,"Ruling Against Health Reform Subsidies Would Be Wrong -- and Harmful If the Supreme Court invalidates premium credits in the federal exchange, the number of uninsured Americans would jump by roughly 8 million. Millions more would face dramatic premium increases; RAND estimates that premiums would jump by 47 percent.",ruling health reform subsidy would wrong harmful supreme court invalidates premium credit federal exchange number uninsured american would jump roughly million million would face dramatic premium increase rand estimate premium would jump percent,245
5157,CRIME,"Seminary School Knew Of Pastor Ray Scott Teet's Sexual Misbehavior, Did Nothing: Lawyer (EXCLUSIVE)",David Lohr,https://www.huffingtonpost.com/entry/pastor-ray-scott-teets_us_5ba2b28de4b0c2784da48851,"Teets, 66, was arrested in Pennsylvania Thursday and charged with unlawful restraint, corruption of minors, unlawful contact",2013-11-23,"Seminary School Knew Of Pastor Ray Scott Teet's Sexual Misbehavior, Did Nothing: Lawyer (EXCLUSIVE) Teets, 66, was arrested in Pennsylvania Thursday and charged with unlawful restraint, corruption of minors, unlawful contact",seminary school knew pastor ray scott teet sexual misbehavior nothing lawyer exclusive teets arrested pennsylvania thursday charged unlawful restraint corruption minor unlawful contact,184
4176,POLITICS,Colorado Senate Election Results: Cory Gardner Defeats Mark Udall,Ashley Alman,https://www.huffingtonpost.com/entry/colorado-senate-election-results_n_5826158.html,,2014-11-05,Colorado Senate Election Results: Cory Gardner Defeats Mark Udall ,colorado senate election result cory gardner defeat mark udall,62
7831,POLITICS,Van Jones Urges Democrats To Move On From 'The Clinton Days',Mollie Reilly,https://www.huffingtonpost.com/entry/van-jones-democrats-2017_us_58692e93e4b0de3a08f8d581,"""If we're the party for the underdogs everywhere, we win,"" he said.",2017-01-01,"Van Jones Urges Democrats To Move On From 'The Clinton Days' ""If we're the party for the underdogs everywhere, we win,"" he said.",van jones urge democrat move clinton day party underdog everywhere win said,75
1647,CRIME,Teacher Who Survives Impalement By Trailer Hitch Waits 6 Hours For Help,,https://www.huffingtonpost.com/entry/megan-adams-teacher-impaled_n_6867976.html,,2015-03-14,Teacher Who Survives Impalement By Trailer Hitch Waits 6 Hours For Help ,teacher survives impalement trailer hitch wait hour help,56
2210,POLITICS,Thousands Are Flocking To Washington This Weekend To Demand Climate Action,Chris D'Angelo,https://www.huffingtonpost.com/entry/peoples-climate-march-washington_us_59024d6ae4b02655f83b1803,"""We want this date to be remembered not just as Trump’s 100th day in office but also as the day we filled the streets.""",2017-04-28,"Thousands Are Flocking To Washington This Weekend To Demand Climate Action ""We want this date to be remembered not just as Trump’s 100th day in office but also as the day we filled the streets.""",thousand flocking washington weekend demand climate action want date remembered trump day office also day filled street,119
7366,POLITICS,Trump Says Obamacare Is 'Imploding.' That's News To California.,Jonathan Cohn,https://www.huffingtonpost.com/entry/covered-california-obamacare_us_5936cf84e4b013c4816b639f,Funny what happens when officials actually believe in the program.,2017-06-10,Trump Says Obamacare Is 'Imploding.' That's News To California. Funny what happens when officials actually believe in the program.,trump say obamacare news california funny happens official actually believe program,83
6429,CRIME,London Vigil For Orlando Victims Draws Thousands,Lydia O'Connor and Damon Dahlen,https://www.huffingtonpost.com/entry/london-orlando-vigil_us_575f1632e4b0e4fe51435b1b,The international LGBT community is responding to hate with a massive showing of unity.,2016-06-13,London Vigil For Orlando Victims Draws Thousands The international LGBT community is responding to hate with a massive showing of unity.,london vigil orlando victim draw thousand international lgbt community responding hate massive showing unity,108
2458,POLITICS,Mayor of Latvian Capital: Putin Is 'Best Thing Possible' for Latvia,"Kevin M. F. Platt, ContributorAuthor, Terror and Greatness: Ivan and Peter as Russian Myt...",https://www.huffingtonpost.com/entry/mayor-of-latvian-capital-_b_5775232.html,"The mayor of the Latvian capital city Riga, Nil Ushakov, stated yesterday in Moscow that for Latvia, ""the best thing possible right now is President Vladimir Putin."" His presence in Moscow and his comments about Putin illustrate how far the views of many Latvians diverge from the Western mainstream on relations between Russia and the West.",2014-09-06,"Mayor of Latvian Capital: Putin Is 'Best Thing Possible' for Latvia The mayor of the Latvian capital city Riga, Nil Ushakov, stated yesterday in Moscow that for Latvia, ""the best thing possible right now is President Vladimir Putin."" His presence in Moscow and his comments about Putin illustrate how far the views of many Latvians diverge from the Western mainstream on relations between Russia and the West.",mayor latvian capital putin thing possible latvia mayor latvian capital city riga nil ushakov stated yesterday moscow latvia best thing possible right president vladimir putin presence moscow comment putin illustrate far view many latvian diverge western mainstream relation russia west,286
197,CRIME,Louisiana Cops Arrested For Killing 6-Year-Old Boy,"Rebecca Santana, AP",https://www.huffingtonpost.com/entry/louisiana-shooting-6-year-old_us_563e2596e4b0307f2cadb1ef,NEW ORLEANS (AP) — Two Louisiana law enforcement officers remained jailed Saturday while their colleagues tried to sort out,2015-11-07,Louisiana Cops Arrested For Killing 6-Year-Old Boy NEW ORLEANS (AP) — Two Louisiana law enforcement officers remained jailed Saturday while their colleagues tried to sort out,louisiana cop arrested killing boy new orleans ap two louisiana law enforcement officer remained jailed saturday colleague tried sort,133
6116,POLITICS,The Father Of The SEAL Slain In Yemen Demands An Investigation,Lydia O'Connor,https://www.huffingtonpost.com/entry/yemen-seal-investigation_us_58b320eee4b060480e08c86e,“Don’t hide behind my son’s death.”,2017-02-26,The Father Of The SEAL Slain In Yemen Demands An Investigation “Don’t hide behind my son’s death.”,father seal slain yemen demand investigation hide behind son death,66
909,POLITICS,U.S. Distaste For Turkish Leader Erdogan May Have Reached 'Tipping Point',Akbar Shahid Ahmed,https://www.huffingtonpost.com/entry/us-turkey-erdogan_us_59498408e4b0177d0b8a28af,"“If Erdogan is investing in the Trump administration, I can say that he will be disappointed,"" Turkish opposition leader Hişyar Özsoy said.",2017-06-20,"U.S. Distaste For Turkish Leader Erdogan May Have Reached 'Tipping Point' “If Erdogan is investing in the Trump administration, I can say that he will be disappointed,"" Turkish opposition leader Hişyar Özsoy said.",distaste turkish leader erdogan may reached point erdogan investing trump administration say disappointed turkish opposition leader hişyar özsoy said,149
